userID,songID,Rating,
0JlW0y,3zBhihYUHBmGd2bcQIobrF,1,TRUE
0JlW0y,5oQcOu1omDykbIPSdSQQNJ,0,FALSE
0JlW0y,3CIOopLwvyMvXk97ZEksKO,0,FALSE
0JlW0y,1k1Bqnv2R0uJXQN4u6LKYt,0,FALSE
0JlW0y,2SHnUyZq0zwmvRIl4WY77G,0,FALSE
0JlW0y,2dU4FegjbgW5qkdrUdzogT,1,TRUE
0JlW0y,1fDsrQ23eTAVFElUMaf38X,0,FALSE
0JlW0y,4Dvkj6JhhA12EX05fT7y2e,1,TRUE
0JlW0y,0ZUo4YjG4saFnEJhdWp9Bt,0,FALSE
0JlW0y,6UkMcAA19lTdjs22jtB7o2,0,FALSE
0JlW0y,0QIYINh2AwmOmdu8CRYvlw,0,FALSE
0JlW0y,3duP6mBVDsHM8ioN7o7dAK,0,FALSE
0JlW0y,4sNG6zQBmtq7M8aeeKJRMQ,0,FALSE
0JlW0y,3ZOEytgrvLwQaqXreDs2Jx,0,FALSE
0JlW0y,2obblQ6tcePeOEVJV6nEGD,0,FALSE
0JlW0y,7N2PNxzZXxCdAHiAfsklhT,0,FALSE
0JlW0y,779mhz1mAry946r91qzR1r,1,TRUE
0JlW0y,2DlHlPMa4M17kufBvI2lEN,0,FALSE
0JlW0y,2tznHmp70DxMyr2XhWLOW0,0,FALSE
0JlW0y,7ACxUo21jtTHzy7ZEV56vU,0,FALSE
0JlW0y,70LcF31zb1H0PyJoS1Sx1r,0,FALSE
0JlW0y,0sDeU2murnLh4yVHQ5IV70,0,FALSE
0JlW0y,0JJP0IS4w0fJx01EcrfkDe,0,FALSE
0JlW0y,5lDriBxJd22IhOH9zTcFrV,0,FALSE
0JlW0y,3pKsUMqpVr4ZJ13Mm91Xig,0,FALSE
0JlW0y,0ofHAoxe9vBkTCp2UQIavz,0,FALSE
0JlW0y,3qhlB30KknSejmIvZZLjOD,0,FALSE
0JlW0y,2qSkIjg1o9h3YT9RAgYN75,0,FALSE
0JlW0y,5UWwZ5lm5PKu6eKsHAGxOk,0,FALSE
0JlW0y,1JSTJqkT5qHq8MDJnJbRE1,0,FALSE
0JlW0y,2bVFvGBU2ihWJgMRPcav5r,0,FALSE
0JlW0y,2M9ro2krNb7nr7HSprkEgo,0,FALSE
0JlW0y,6Rqn2GFlmvmV4w9Ala0I1e,0,FALSE
0JlW0y,7DSAEUvxU8FajXtRloy8M0,1,TRUE
0JlW0y,7EkWXAI1wn8Ii883ecd9xr,0,FALSE
0JlW0y,11qh54D0PKkBwelpDxxiEU,0,FALSE
0JlW0y,7GQjJEwqlp6m5HNWVQd6OR,0,FALSE
0JlW0y,3rUGC1vUpkDG9CZFHMur1t,0,FALSE
0JlW0y,4EWCNWgDS8707fNSZ1oaA5,0,FALSE
0JlW0y,3USxtqRwSYz57Ewm6wWRMp,0,FALSE
0JlW0y,4xqrdfXkTW4T0RauPLv3WA,0,FALSE
0JlW0y,2zYzyRzz6pRmhPzyfMEC8s,0,FALSE
